Targets,Dates,Open,High,Low,Close
NSE:RELIANCE,2023-05-26 11:59:18.253716+05:30,2439.95,2509.0,2450.75,2508.8
NSE:RELIANCE,2023-05-26 12:11:36.236247+05:30,2439.95,2493.45,2450.75,2488.4
NSE:RELIANCE,2023-05-26 12:21:10.770811+05:30,2439.95,2493.45,2450.75,2488.6
NSE:RELIANCE,2023-05-26 12:21:10.770811+05:30,2439.95,2493.45,2450.75,2488.65
NSE:RELIANCE,2023-05-26 12:21:10.770811+05:30,2439.95,2509.0,2450.75,2508.8
NSE:RELIANCE,2023-05-26 12:21:10.770811+05:30,2439.95,2493.45,2450.75,2487.5
NSE:RELIANCE,2023-05-26 12:21:10.770811+05:30,2439.95,2493.45,2450.75,2488.0
NSE:RELIANCE,2023-05-26 12:21:10.770811+05:30,2439.95,2493.45,2450.75,2489.95
NSE:RELIANCE,2023-05-27 12:36:24.059077+05:30,2439.95,2509.0,2450.75,2508.8
NSE:TATAMOTORS,2023-05-26 11:59:18.253716+05:30,514.85,519.75,512.2,517.8
NSE:TATAMOTORS,2023-05-26 12:13:05.854035+05:30,514.85,518.25,512.2,516.9
NSE:TATAMOTORS,2023-05-26 12:21:10.770811+05:30,514.85,518.25,512.2,517.0
NSE:TATAMOTORS,2023-05-26 12:21:10.770811+05:30,514.85,519.75,512.2,517.8
NSE:TATAMOTORS,2023-05-26 12:21:10.770811+05:30,514.85,518.25,512.2,516.3
NSE:TATAMOTORS,2023-05-26 12:21:10.770811+05:30,514.85,518.25,512.2,516.9
NSE:TATAMOTORS,2023-05-26 12:21:10.770811+05:30,514.85,518.25,512.2,516.85
NSE:TATAMOTORS,2023-05-27 12:36:24.059077+05:30,514.85,519.75,512.2,517.8
NYSE:BA,2023-05-26 11:59:18.253716+05:30,200.87,204.8,201.18,203.63
NYSE:BA,2023-05-26 12:07:24.465100+05:30,200.87,204.8,201.18,204.08
NYSE:BA,2023-05-26 12:13:05.854035+05:30,199.27,201.75,196.6,200.87
NYSE:BA,2023-05-26 12:21:10.770811+05:30,200.87,204.8,201.18,204.08
NYSE:BA,2023-05-26 12:21:10.770811+05:30,199.27,201.75,196.6,200.87
NYSE:BA,2023-05-27 12:36:24.059077+05:30,200.87,204.8,201.18,203.63
